norm_title,tconst,titleType,startYear,runtimeMinutes,genres,averageRating,numVotes
the cold light of day,tt1366365,movie,2012,93,"Action,Adventure,Thriller",4.9,41213.0
karthikeya 2,tt13664684,movie,2022,150,"Action,Adventure,Fantasy",7.8,65154.0
women talking,tt13669038,movie,2022,104,Drama,6.9,63811.0
the ward,tt1369706,movie,2010,89,"Horror,Mystery,Thriller",5.5,47269.0
cloud atlas,tt1371111,movie,2012,172,"Drama,Mystery,Sci-Fi",7.3,385890.0
this is where i leave you,tt1371150,movie,2014,103,"Comedy,Drama",6.7,94532.0
coriolanus,tt1372686,movie,2011,123,"Drama,Thriller,War",6.1,34881.0
pride and prejudice and zombies,tt1374989,movie,2016,108,"Action,Comedy,Fantasy",5.8,64200.0
upside down,tt1374992,movie,2012,109,"Drama,Romance,Sci-Fi",6.3,75748.0
animal,tt13751694,movie,2023,204,"Action,Crime,Drama",6.2,114535.0
inception,tt1375666,movie,2010,148,"Action,Adventure,Sci-Fi",8.8,2799547.0
grown ups,tt1375670,movie,2010,102,Comedy,6.0,310779.0
the company you keep,tt1381404,movie,2012,125,"Drama,Thriller",6.4,37384.0
fighter,tt13818368,movie,2024,166,"Action,Drama",6.2,53999.0
the whale,tt13833688,movie,2022,117,Drama,7.6,280432.0
men,tt13841850,movie,2022,100,"Drama,Fantasy,Horror",6.0,78053.0
the adjustment bureau,tt1385826,movie,2011,106,"Crime,Drama,Mystery",7.0,281879.0
cop out,tt1385867,movie,2010,107,"Action,Comedy,Crime",5.5,92407.0
the other guys,tt1386588,movie,2010,107,"Action,Comedy,Crime",6.7,308442.0
suicide squad,tt1386697,movie,2016,123,"Action,Adventure,Fantasy",5.9,757427.0
total recall,tt1386703,movie,2012,118,"Action,Adventure,Sci-Fi",6.2,275932.0
ip man 2,tt1386932,movie,2010,108,"Action,Biography,Drama",7.5,116379.0
against the ice,tt13873302,movie,2022,102,"Adventure,Drama,History",6.5,31640.0
downsizing,tt1389072,movie,2017,135,"Drama,Fantasy,Sci-Fi",5.8,137150.0
stand up guys,tt1389096,movie,2012,95,"Comedy,Crime,Thriller",6.4,59568.0
we bought a zoo,tt1389137,movie,2011,124,"Comedy,Drama,Family",7.0,159978.0
in the heart of the sea,tt1390411,movie,2015,122,"Action,Adventure,Biography",6.9,158558.0
the hunger games,tt1392170,movie,2012,142,"Action,Adventure,Sci-Fi",7.2,1076885.0
mad max fury road,tt1392190,movie,2015,120,"Action,Adventure,Sci-Fi",8.1,1201625.0
prisoners,tt1392214,movie,2013,153,"Crime,Drama,Mystery",8.2,927247.0
boy kills world,tt13923084,movie,2023,111,"Action,Adventure,Comedy",6.4,39987.0
salaar,tt13927994,movie,2023,175,"Action,Crime,Drama",6.7,78475.0
dumb money,tt13957560,movie,2023,105,"Biography,Comedy,Drama",6.8,62390.0
mr poppers penguins,tt1396218,movie,2011,94,"Comedy,Family,Fantasy",6.0,112469.0
under paris,tt13964390,movie,2024,104,"Action,Horror,Sci-Fi",5.2,39309.0
it,tt1396484,movie,2017,135,Horror,7.3,691681.0
taken 2,tt1397280,movie,2012,92,"Action,Crime,Thriller",6.2,336248.0
journey 2 the mysterious island,tt1397514,movie,2012,94,"Action,Adventure,Comedy",5.7,120438.0
straight outta compton,tt1398426,movie,2015,147,"Biography,Drama,History",7.8,233066.0
transformers dark of the moon,tt1399103,movie,2011,154,"Action,Adventure,Comedy",6.2,454405.0
winters bone,tt1399683,movie,2010,100,"Crime,Drama,Mystery",7.1,157458.0
rare exports,tt1401143,movie,2010,84,"Adventure,Fantasy,Horror",6.6,35443.0
unknown,tt1401152,movie,2011,113,"Action,Mystery,Thriller",6.8,276180.0
happy feet two,tt1402488,movie,2011,100,"Adventure,Animation,Comedy",5.8,50715.0
hesher,tt1403177,movie,2010,106,"Comedy,Drama",6.9,55590.0
true grit,tt1403865,movie,2010,110,"Drama,Western",7.6,375432.0
drive my car,tt14039582,movie,2021,179,Drama,7.5,76134.0
remember me,tt1403981,movie,2010,113,"Drama,Romance",7.1,163182.0
celeste jesse forever,tt1405365,movie,2012,92,"Comedy,Drama,Romance",6.6,35102.0
14 peaks nothing is impossible,tt14079374,movie,2021,101,"Adventure,Documentary,Sport",7.7,33529.0
star trek into darkness,tt1408101,movie,2013,132,"Action,Adventure,Sci-Fi",7.7,509634.0
ride along,tt1408253,movie,2014,99,"Action,Comedy,Crime",6.1,129161.0
tarot,tt14088510,movie,2024,92,Horror,4.8,38501.0
men in black³,tt1409024,movie,2012,106,"Action,Adventure,Comedy",6.8,410560.0
the flowers of war,tt1410063,movie,2011,146,"Drama,History,Romance",7.5,58223.0
dasvi,tt14107554,movie,2022,125,"Comedy,Drama",7.3,62598.0
ticket to paradise,tt14109724,movie,2022,104,"Comedy,Drama,Romance",6.1,80866.0
no strings attached,tt1411238,movie,2011,108,"Comedy,Romance",6.2,254774.0
riddick,tt1411250,movie,2013,119,"Action,Adventure,Sci-Fi",6.4,185893.0
the outfit,tt14114802,movie,2022,105,"Crime,Drama,Mystery",7.2,85861.0
the hangover part ii,tt1411697,movie,2011,102,Comedy,6.5,575086.0
hop,tt1411704,movie,2011,95,"Adventure,Animation,Comedy",5.4,40430.0
the best exotic marigold hotel,tt1412386,movie,2011,124,"Comedy,Drama,Romance",7.2,103730.0
table 19,tt1412528,movie,2017,87,"Comedy,Drama,Romance",5.8,33336.0
kimi,tt14128670,movie,2022,89,"Crime,Drama,Mystery",6.3,43097.0
12 strong,tt1413492,movie,2018,130,"Action,Drama,History",6.6,100434.0
paranoia,tt1413495,movie,2013,106,"Drama,Thriller",5.6,40295.0
the pale blue eye,tt14138650,movie,2022,128,"Crime,Horror,Mystery",6.6,140477.0
you again,tt1414382,movie,2010,105,"Comedy,Romance",5.8,56702.0
seaspiracy,tt14152756,movie,2021,89,"Adventure,Documentary",8.1,35517.0
nanny mcphee returns,tt1415283,movie,2010,109,"Comedy,Family,Fantasy",6.1,39724.0
kill the irishman,tt1416801,movie,2011,106,"Action,Biography,Crime",7.0,54477.0
i frankenstein,tt1418377,movie,2014,92,"Action,Fantasy,Sci-Fi",5.1,86175.0
the fabelmans,tt14208870,movie,2022,151,Drama,7.5,134074.0
cocaine bear,tt14209916,movie,2023,95,"Comedy,Crime,Thriller",5.9,125956.0
somewhere,tt1421051,movie,2010,97,"Comedy,Drama,Romance",6.3,48542.0
a lonely place to die,tt1422136,movie,2011,99,"Crime,Thriller",6.2,32133.0
family switch,tt14227048,movie,2023,106,"Comedy,Family,Fantasy",5.7,33179.0
asteroid city,tt14230388,movie,2023,105,"Comedy,Drama,Romance",6.4,143865.0
poor things,tt14230458,movie,2023,141,"Comedy,Drama,Romance",7.7,389167.0
stone,tt1423995,movie,2010,105,"Drama,Mystery,Thriller",5.4,44026.0
predators,tt1424381,movie,2010,107,"Action,Adventure,Sci-Fi",6.4,261768.0
senna,tt1424432,movie,2010,106,"Biography,Documentary,Sport",8.4,83673.0
speak no evil,tt14253846,movie,2022,97,"Drama,Horror,Mystery",6.7,63295.0
wolfs,tt14257582,movie,2024,108,"Comedy,Crime,Thriller",6.5,102583.0
better man,tt14260836,movie,2024,135,"Biography,Fantasy,Music",7.5,44769.0
lovelace,tt1426329,movie,2013,93,"Biography,Drama",6.2,44523.0
hansel gretel witch hunters,tt1428538,movie,2013,88,"Action,Fantasy,Horror",6.1,226260.0
the wolverine,tt1430132,movie,2013,126,"Action,Sci-Fi",6.7,522491.0
arthur christmas,tt1430607,movie,2011,97,"Adventure,Animation,Comedy",7.1,73504.0
brick mansions,tt1430612,movie,2014,90,"Action,Crime,Drama",5.6,45678.0
the pirates band of misfits,tt1430626,movie,2012,88,"Action,Adventure,Animation",6.7,54164.0
me time,tt14309446,movie,2022,101,Comedy,5.1,45211.0
deadpool,tt1431045,movie,2016,108,"Action,Comedy,Sci-Fi",8.0,1247644.0
another year,tt1431181,movie,2010,129,"Comedy,Drama",7.4,32129.0
faster,tt1433108,movie,2010,98,"Action,Crime,Drama",6.4,116984.0
jujutsu kaisen 0,tt14331144,movie,2021,112,"Action,Animation,Fantasy",7.8,60720.0
disconnect,tt1433811,movie,2012,115,"Crime,Drama,Mystery",7.5,80081.0
hysteria,tt1435513,movie,2011,100,"Biography,Comedy,Romance",6.7,34098.0
13 assassins,tt1436045,movie,2010,141,"Action,Adventure,Drama",7.5,71536.0
rio,tt1436562,movie,2011,96,"Adventure,Animation,Comedy",6.9,271743.0
lift,tt14371878,movie,2024,107,"Action,Comedy,Crime",5.6,52304.0
sleep tight,tt1437358,movie,2011,102,"Crime,Drama,Thriller",7.2,49713.0
cha cha real smooth,tt14376344,movie,2022,107,"Comedy,Drama",7.3,31054.0
fright night,tt1438176,movie,2011,106,"Action,Comedy,Drama",6.4,119411.0
charlie st cloud,tt1438254,movie,2010,99,"Drama,Fantasy,Romance",6.4,66394.0
perfect sense,tt1439572,movie,2011,92,"Drama,Romance,Sci-Fi",7.0,66960.0
battleship,tt1440129,movie,2012,131,"Action,Adventure,Sci-Fi",5.8,268743.0
a little bit of heaven,tt1440161,movie,2011,106,"Comedy,Drama,Fantasy",6.3,30671.0
submarine,tt1440292,movie,2010,97,"Comedy,Drama,Romance",7.3,100732.0
this must be the place,tt1440345,movie,2011,118,"Adventure,Comedy,Drama",6.7,38549.0
the american,tt1440728,movie,2010,105,"Crime,Drama,Thriller",6.3,106472.0
martha marcy may marlene,tt1441326,movie,2011,102,"Drama,Mystery,Thriller",6.8,58560.0
under the skin,tt1441395,movie,2013,108,"Drama,Horror,Mystery",6.3,169824.0
the way,tt1441912,movie,2010,123,"Comedy,Drama",7.3,37944.0
salmon fishing in the yemen,tt1441952,movie,2011,107,"Comedy,Drama,Romance",6.8,68923.0
testament of youth,tt1441953,movie,2014,129,"Biography,Drama,History",7.2,31808.0
father stu,tt14439896,movie,2022,124,"Biography,Drama,Sport",6.5,35919.0
tár,tt14444726,movie,2022,158,"Drama,Music",7.4,109091.0
rise of the guardians,tt1446192,movie,2012,97,"Action,Adventure,Animation",7.2,208406.0
prometheus,tt1446714,movie,2012,124,"Adventure,Sci-Fi",7.0,696868.0
thanksgiving,tt1448754,movie,2023,106,"Horror,Mystery,Thriller",6.2,79960.0
killer elite,tt1448755,movie,2011,116,"Action,Crime,Thriller",6.4,140801.0
winnie the pooh,tt1449283,movie,2011,63,"Adventure,Animation,Comedy",7.1,30690.0
filth,tt1450321,movie,2013,97,"Action,Comedy,Crime",7.0,121967.0
no one will save you,tt14509110,movie,2023,93,"Horror,Mystery,Sci-Fi",6.2,78745.0
monsters university,tt1453405,movie,2013,104,"Adventure,Animation,Comedy",7.2,422611.0
nefarious,tt14537248,movie,2023,97,"Drama,Horror,Thriller",6.4,38767.0
godzilla x kong the new empire,tt14539740,movie,2024,115,"Action,Adventure,Fantasy",6.0,133601.0
the help,tt1454029,movie,2011,146,Drama,8.1,526763.0
gravity,tt1454468,movie,2013,91,"Drama,Sci-Fi,Thriller",7.7,897277.0
crimes of the future,tt14549466,movie,2022,107,"Drama,Horror,Sci-Fi",5.8,46714.0
goon,tt1456635,movie,2011,92,"Comedy,Drama,Sport",6.8,94087.0
tomorrow when the war began,tt1456941,movie,2010,104,"Action,Adventure,Drama",6.1,32726.0
the conjuring,tt1457767,movie,2013,112,"Horror,Mystery,Thriller",7.5,618905.0
its whats inside,tt14577874,movie,2024,103,"Comedy,Mystery,Sci-Fi",6.6,50804.0
kidnap,tt1458169,movie,2017,95,"Action,Crime,Thriller",5.9,41007.0
the next three days,tt1458175,movie,2010,133,"Action,Crime,Drama",7.3,214905.0
dream house,tt1462041,movie,2011,92,"Drama,Mystery,Thriller",6.0,71137.0
buried,tt1462758,movie,2010,95,"Drama,Mystery,Thriller",7.0,175973.0
indiana jones and the dial of destiny,tt1462764,movie,2023,154,"Action,Adventure,Sci-Fi",6.5,231519.0
the odd life of timothy green,tt1462769,movie,2012,105,"Comedy,Drama,Family",6.6,50203.0
the grandmaster,tt1462900,movie,2013,130,"Action,Biography,Drama",6.6,38575.0
big mommas like father like son,tt1464174,movie,2011,107,"Action,Comedy,Crime",4.5,31243.0
enola holmes 2,tt14641788,movie,2022,129,"Action,Adventure,Crime",6.8,117909.0
uncharted,tt1464335,movie,2022,116,"Action,Adventure",6.3,297479.0
i am number four,tt1464540,movie,2011,111,"Action,Adventure,Sci-Fi",6.1,252582.0
stake land,tt1464580,movie,2010,98,"Drama,Horror",6.4,45718.0
mute,tt1464763,movie,2018,126,"Mystery,Sci-Fi,Thriller",5.5,39525.0
tucker and dale vs evil,tt1465522,movie,2010,89,"Comedy,Horror",7.5,208331.0
baywatch,tt1469304,movie,2017,116,"Action,Comedy,Crime",5.5,217994.0
macgruber,tt1470023,movie,2010,90,"Action,Comedy",5.6,50023.0
monsters,tt1470827,movie,2010,94,"Adventure,Drama,Romance",6.3,101690.0
falling for christmas,tt14715170,movie,2022,93,"Comedy,Romance",5.3,33813.0
the cost of deception,tt14723224,movie,2021,125,"Action,Crime,Drama",1.5,40909.0
bridget joness baby,tt1473832,movie,2016,123,"Comedy,Drama,Romance",6.4,91009.0
saw 3d,tt1477076,movie,2010,90,"Horror,Mystery",5.5,117996.0
aquaman,tt1477834,movie,2018,143,"Action,Adventure,Fantasy",6.8,551454.0
cedar rapids,tt1477837,movie,2011,87,Comedy,6.3,40953.0
bridesmaids,tt1478338,movie,2011,125,Comedy,6.8,324451.0
the art of racing in the rain,tt1478839,movie,2019,109,"Comedy,Drama,Romance",7.6,48262.0
attack the block,tt1478964,movie,2011,88,"Action,Adventure,Comedy",6.6,115405.0
killing season,tt1480295,movie,2013,91,"Action,Drama,Thriller",5.4,40092.0
cosmopolis,tt1480656,movie,2012,109,"Crime,Drama,Mystery",5.1,52054.0
happythankyoumoreplease,tt1481572,movie,2010,100,"Comedy,Drama,Romance",6.7,30975.0
the weekend away,tt14817272,movie,2022,89,"Crime,Drama,Mystery",5.7,35840.0
the lorax,tt1482459,movie,2012,86,"Adventure,Animation,Comedy",6.4,143191.0
the lord of the rings the war of the rohirrim,tt14824600,movie,2024,134,"Action,Adventure,Animation",6.3,39464.0
you people,tt14826022,movie,2023,117,"Comedy,Romance",5.5,67097.0
oblivion,tt1483013,movie,2013,124,"Action,Adventure,Sci-Fi",7.0,584354.0
sisu,tt14846026,movie,2022,91,"Action,Thriller,War",6.9,119002.0
the holdovers,tt14849194,movie,2023,133,"Comedy,Drama",7.9,245807.0
atlas,tt14856980,movie,2024,118,"Action,Adventure,Drama",5.6,59406.0
the greatest showman,tt1485796,movie,2017,105,"Biography,Drama,Musical",7.5,345144.0
blink twice,tt14858658,movie,2024,102,"Mystery,Thriller",6.5,128240.0
red riding hood,tt1486185,movie,2011,100,"Fantasy,Horror,Mystery",5.4,119337.0
the raven,tt1486192,movie,2012,110,"Crime,Drama,Mystery",6.4,90253.0
what if,tt1486834,movie,2013,98,"Comedy,Romance",6.8,84314.0
the changeup,tt1488555,movie,2011,112,"Comedy,Fantasy",6.3,204222.0
guillermo del toros pinocchio,tt1488589,movie,2022,117,"Adventure,Animation,Drama",7.6,143530.0
triple frontier,tt1488606,movie,2019,125,"Action,Adventure,Thriller",6.5,160732.0
booksmart,tt1489887,movie,2019,102,Comedy,7.1,139804.0
central intelligence,tt1489889,movie,2016,107,"Action,Comedy,Crime",6.3,237407.0
the lego movie,tt1490017,movie,2014,100,"Action,Adventure,Animation",7.7,413741.0
the iceman,tt1491044,movie,2012,106,"Biography,Crime,Drama",6.8,83593.0
unfrosted,tt14914430,movie,2024,97,"Biography,Comedy,History",5.5,36675.0
satyaprem ki katha,tt14914988,movie,2023,146,"Comedy,Drama,Musical",6.6,31702.0
red one,tt14948432,movie,2024,123,"Action,Adventure,Comedy",6.2,158526.0
underworld awakening,tt1496025,movie,2012,88,"Action,Fantasy,Thriller",6.3,167155.0
im still here,tt14961016,movie,2024,137,"Biography,Drama,History",8.1,146257.0
the paperboy,tt1496422,movie,2012,107,"Crime,Drama,Mystery",5.7,41725.0
late night with the devil,tt14966898,movie,2023,93,Horror,7.0,145439.0
the tinder swindler,tt14992922,movie,2022,114,"Crime,Documentary",7.1,77501.0
rocky aur rani kii prem kahaani,tt14993250,movie,2023,168,"Comedy,Drama,Family",6.5,50730.0
horrible bosses,tt1499658,movie,2011,98,"Comedy,Crime",6.9,486864.0
rebel moon part one a child of fire,tt14998742,movie,2023,133,"Action,Adventure,Drama",5.6,140011.0
argylle,tt15009428,movie,2024,139,"Action,Comedy,Thriller",5.6,99334.0
bad boys for life,tt1502397,movie,2020,124,"Action,Comedy,Crime",6.5,196302.0
drive angry,tt1502404,movie,2011,104,"Action,Comedy,Crime",5.4,106509.0
halloween,tt1502407,movie,2018,106,"Crime,Drama,Horror",6.5,186153.0
fantastic four,tt1502712,movie,2015,100,"Action,Adventure,Sci-Fi",4.3,192046.0
the kings speech,tt1504320,movie,2010,118,"Biography,Drama,History",8.0,731653.0
haywire,tt1506999,movie,2011,93,"Action,Drama,Thriller",5.8,92840.0
i came by,tt15083184,movie,2022,110,Thriller,6.2,39054.0
jai bhim,tt15097216,movie,2021,164,"Crime,Drama",8.6,233574.0
the three musketeers,tt1509767,movie,2011,110,"Action,Adventure,Fantasy",5.7,115577.0
super,tt1512235,movie,2010,96,"Action,Comedy,Crime",6.7,87143.0
julias eyes,tt1512685,movie,2010,118,"Horror,Mystery,Thriller",6.7,39093.0
freddy,tt15145764,movie,2022,124,"Drama,Mystery,Romance",7.3,36600.0
sherlock holmes a game of shadows,tt1515091,movie,2011,129,"Action,Adventure,Mystery",7.4,501164.0
strays,tt15153532,movie,2023,93,"Adventure,Comedy",6.3,37596.0
thunivu,tt15163652,movie,2023,146,"Action,Crime,Thriller",6.1,30710.0
the host,tt1517260,movie,2013,125,"Action,Adventure,Drama",5.8,121647.0
barbie,tt1517268,movie,2023,114,"Adventure,Comedy,Fantasy",6.8,664211.0
a star is born,tt1517451,movie,2018,136,"Drama,Music,Romance",7.6,447447.0
spy kids 4 all the time in the world,tt1517489,movie,2011,89,"Action,Adventure,Comedy",3.6,30551.0
anonymous,tt1521197,movie,2011,130,"Drama,Thriller",6.8,43285.0
dune part two,tt15239678,movie,2024,166,"Action,Adventure,Drama",8.4,726448.0
contraband,tt1524137,movie,2012,109,"Action,Adventure,Crime",6.4,129050.0
vacation,tt1524930,movie,2015,99,"Adventure,Comedy",6.2,131858.0
murder mystery 2,tt15255288,movie,2023,89,"Action,Adventure,Comedy",5.7,83225.0
emily the criminal,tt15255876,movie,2022,97,"Crime,Drama,Thriller",6.7,66922.0
pain hustlers,tt15257160,movie,2023,123,"Crime,Drama",6.6,54834.0
joy ride,tt15268244,movie,2023,95,Comedy,6.4,30548.0
melancholia,tt1527186,movie,2011,135,"Drama,Sci-Fi",7.1,207544.0
the man from nowhere,tt1527788,movie,2010,119,"Action,Crime,Drama",7.7,80162.0
horns,tt1528071,movie,2013,120,"Comedy,Fantasy,Horror",6.4,91633.0
exodus gods and kings,tt1528100,movie,2014,150,"Action,Adventure,Drama",6.0,186403.0
daddys home,tt1528854,movie,2015,96,"Comedy,Family",6.2,138776.0
trust,tt1529572,movie,2010,106,"Crime,Drama,Mystery",6.9,46090.0
argentina 1985,tt15301048,movie,2022,140,"Biography,Crime,Drama",7.6,36024.0
the human centipede 2 full sequence,tt1530509,movie,2011,91,Horror,3.8,47424.0
the beekeeper,tt15314262,movie,2024,105,"Action,Crime,Thriller",6.3,178246.0
everything must go,tt1531663,movie,2010,97,"Comedy,Drama",6.4,55184.0
byzantium,tt1531901,movie,2012,118,"Drama,Fantasy,Horror",6.5,48514.0
beginners,tt1532503,movie,2010,105,"Comedy,Drama,Romance",7.2,97252.0
fall,tt15325794,movie,2022,107,"Action,Thriller",6.4,135487.0
ghosted,tt15326988,movie,2023,117,"Action,Adventure,Comedy",5.8,79737.0
kantara,tt15327088,movie,2022,148,"Action,Adventure,Drama",8.1,116176.0
martin,tt15334030,movie,2024,147,"Action,Drama,Thriller",2.1,36537.0
marcel the shell with shoes on,tt15339456,movie,2021,90,"Animation,Comedy,Drama",7.6,33616.0
champions,tt15339570,movie,2023,124,"Comedy,Drama,Sport",6.8,36301.0
elysium,tt1535108,movie,2013,109,"Action,Drama,Sci-Fi",6.6,490369.0
captain phillips,tt1535109,movie,2013,134,"Action,Biography,Crime",7.8,517992.0
hope springs,tt1535438,movie,2012,100,"Comedy,Drama,Romance",6.3,45847.0
jawan,tt15354916,movie,2023,169,"Action,Crime,Drama",6.9,110559.0
the divide,tt1535616,movie,2011,112,"Drama,Horror,Sci-Fi",5.7,40310.0
paranormal activity 2,tt1536044,movie,2010,91,"Horror,Mystery",5.7,115179.0
what happened to monday,tt1536537,movie,2017,123,"Action,Crime,Fantasy",6.8,144163.0
the mortal instruments city of bones,tt1538403,movie,2013,130,"Action,Adventure,Fantasy",5.8,143498.0
merry christmas,tt15392282,movie,2024,144,"Drama,Mystery,Thriller",6.9,30513.0
oppenheimer,tt15398776,movie,2023,180,"Biography,Drama,History",8.2,1014423.0
blair witch,tt1540011,movie,2016,89,"Horror,Mystery,Thriller",5.0,53271.0
playing for keeps,tt1540128,movie,2012,105,"Comedy,Romance,Sport",5.7,32260.0
the guard,tt1540133,movie,2011,96,"Comedy,Crime,Thriller",7.3,101227.0
flypaper,tt1541160,movie,2011,87,"Comedy,Crime,Mystery",6.3,34989.0
127 hours,tt1542344,movie,2010,94,"Biography,Drama",7.5,423311.0
dunki,tt15428134,movie,2023,160,"Action,Adventure,Comedy",6.5,85514.0
hanu man,tt15433956,movie,2024,158,"Action,Adventure,Fantasy",7.7,30335.0
kho gaye hum kahan,tt15434074,movie,2023,135,"Comedy,Drama,Romance",7.3,31661.0
premium rush,tt1547234,movie,2012,91,"Action,Thriller",6.5,122278.0
smile,tt15474916,movie,2022,115,"Horror,Mystery,Thriller",6.5,237104.0
another earth,tt1549572,movie,2011,92,"Drama,Romance,Sci-Fi",6.9,104071.0
the last stand,tt1549920,movie,2013,107,"Action,Drama,Thriller",6.3,150240.0
drishyam 2,tt15501640,movie,2022,140,"Crime,Drama,Mystery",8.2,51610.0
elite squad 2 the enemy within,tt1555149,movie,2010,115,"Crime,Drama,Thriller",8.0,91954.0
caddo lake,tt15552142,movie,2024,103,"Drama,Mystery,Sci-Fi",6.8,53888.0
i saw the tv glow,tt15574270,movie,2024,100,"Drama,Horror,Mystery",5.8,44253.0
beautiful creatures,tt1559547,movie,2013,124,"Drama,Fantasy,Romance",6.1,93212.0
an action hero,tt15600222,movie,2022,130,"Action,Comedy,Crime",7.0,33604.0
boy,tt1560139,movie,2010,87,"Comedy,Drama",7.5,31463.0
zombieland double tap,tt1560220,movie,2019,99,"Action,Comedy,Horror",6.6,224307.0
the master,tt1560747,movie,2012,138,Drama,7.1,200246.0
the devil inside,tt1560985,movie,2012,83,Horror,4.2,38435.0
raone,tt1562871,movie,2011,156,"Action,Sci-Fi,Thriller",5.0,51637.0
zindagi na milegi dobara,tt1562872,movie,2011,155,"Comedy,Drama,Musical",8.2,95269.0
one day,tt1563738,movie,2011,107,"Drama,Romance",7.0,179077.0
overboard,tt1563742,movie,2018,112,"Comedy,Romance",6.0,44618.0
just go with it,tt1564367,movie,2011,117,"Comedy,Romance",6.4,288503.0
skyline,tt1564585,movie,2010,92,"Action,Sci-Fi,Thriller",4.5,94279.0
leo,tt15654328,movie,2023,164,"Action,Crime,Drama",7.2,73529.0
no hard feelings,tt15671028,movie,2023,103,"Comedy,Romance",6.3,213781.0
the voices,tt1567437,movie,2014,103,"Comedy,Crime,Horror",6.3,66633.0
get the gringo,tt1567609,movie,2012,96,"Action,Drama,Thriller",6.9,114631.0
knock at the cabin,tt15679400,movie,2023,100,"Horror,Mystery,Thriller",6.1,140790.0
man on a ledge,tt1568338,movie,2012,102,"Action,Crime,Thriller",6.6,162073.0
the girl with the dragon tattoo,tt1568346,movie,2011,158,"Crime,Drama,Mystery",7.8,526746.0
war horse,tt1568911,movie,2011,146,"Adventure,Drama,History",7.2,172696.0
the secret world of arrietty,tt1568921,movie,2010,94,"Adventure,Animation,Drama",7.6,116337.0
crazy stupid love,tt1570728,movie,2011,118,"Comedy,Drama,Romance",7.4,614490.0
a dangerous method,tt1571222,movie,2011,99,"Biography,Drama,Romance",6.4,111879.0
mortal engines,tt1571234,movie,2018,128,"Action,Adventure,Fantasy",6.1,152524.0
the skeleton twins,tt1571249,movie,2014,93,"Comedy,Drama,Romance",6.8,46767.0
texas chainsaw,tt1572315,movie,2013,92,"Crime,Drama,Horror",4.8,60352.0
omg 2,tt15732324,movie,2023,156,"Comedy,Drama",7.5,47374.0
the last kingdom seven kings must die,tt15767808,movie,2023,117,"Action,Drama,History",6.9,43315.0
in the land of saints and sinners,tt15782690,movie,2023,106,"Action,Crime,Drama",6.4,30805.0
the dilemma,tt1578275,movie,2011,111,"Comedy,Drama",5.3,58712.0
elemental,tt15789038,movie,2023,101,"Adventure,Animation,Comedy",7.0,162741.0
nowhere,tt15789472,movie,2023,109,"Drama,Thriller",6.3,48569.0
barbarian,tt15791034,movie,2022,102,"Horror,Mystery,Thriller",7.0,256971.0
house at the end of the street,tt1582507,movie,2012,101,"Drama,Horror,Mystery",5.5,84417.0
larry crowne,tt1583420,movie,2011,98,"Comedy,Drama,Romance",6.1,76963.0
gi joe retaliation,tt1583421,movie,2013,110,"Action,Adventure,Sci-Fi",5.7,192757.0
catfish,tt1584016,movie,2010,87,"Documentary,Drama,Mystery",7.1,44335.0
what to expect when youre expecting,tt1586265,movie,2012,110,"Comedy,Drama,Romance",5.7,78015.0
machine gun preacher,tt1586752,movie,2011,129,"Action,Biography,Crime",6.7,71092.0
maleficent,tt1587310,movie,2014,97,"Adventure,Drama,Family",6.9,423094.0
exit through the gift shop,tt1587707,movie,2010,87,"Comedy,Crime,Documentary",7.9,70791.0
i saw the devil,tt1588170,movie,2010,144,"Action,Thriller",7.8,164394.0
warm bodies,tt1588173,movie,2013,98,"Action,Comedy,Horror",6.8,254673.0
jeff who lives at home,tt1588334,movie,2011,83,"Comedy,Drama",6.4,66456.0
sleeping beauty,tt1588398,movie,2011,101,"Drama,Mystery,Romance",5.3,36360.0
confessions,tt1590089,movie,2010,106,"Drama,Thriller",7.7,44941.0
the commuter,tt1590193,movie,2018,104,"Action,Mystery,Thriller",6.3,133548.0
insidious,tt1591095,movie,2010,103,"Horror,Mystery,Thriller",6.8,364968.0
act of valor,tt1591479,movie,2012,110,"Action,Adventure,Thriller",6.4,73903.0
take this waltz,tt1592281,movie,2011,116,"Comedy,Drama",6.5,31293.0
lockout,tt1592525,movie,2012,95,"Action,Sci-Fi,Thriller",6.0,103294.0
lol,tt1592873,movie,2012,97,"Comedy,Drama,Romance",4.4,59850.0
the innkeepers,tt1594562,movie,2011,101,"Drama,Horror,Mystery",5.5,39401.0
to the wonder,tt1595656,movie,2012,112,"Drama,Romance",5.8,30877.0
fast five,tt1596343,movie,2011,130,"Action,Crime,Thriller",7.3,431881.0
pawn sacrifice,tt1596345,movie,2014,115,"Biography,Drama,History",7.0,53984.0
soul surfer,tt1596346,movie,2011,112,"Biography,Drama,Family",7.0,55557.0
this means war,tt1596350,movie,2012,103,"Action,Comedy,Romance",6.3,200367.0
the big short,tt1596363,movie,2015,130,"Biography,Comedy,Drama",7.8,536524.0
the woman in black,tt1596365,movie,2012,95,"Drama,Fantasy,Horror",6.4,199273.0
the archies,tt15979666,movie,2023,141,"Comedy,Drama,Musical",4.2,53525.0
z for zachariah,tt1598642,movie,2015,98,"Drama,Romance,Sci-Fi",6.0,34452.0
contagion,tt1598778,movie,2011,106,"Drama,Thriller",6.8,329863.0
new years eve,tt1598822,movie,2011,118,"Comedy,Romance",5.6,92752.0
