movie_title,norm_title,year,critics_consensus,review_date,tomatometer_rating
Don't Let Go (Relive),dont let go relive,2019,"While admirably intelligent and well-cast, Don't Let Go suffers from a formulaic approach compounded by its uneven writing and an awkward tonal balance.",2019-01-28,42.0
Don't Look Now,dont look now,2000,Don't Look Now patiently builds suspense with haunting imagery and a chilling score -- causing viewers to feel Donald Sutherland and Julie Christie's grief deep within.,2000-01-01,95.0
Hot Pursuit,hot pursuit,2015,"Shrill and unfunny, Hot Pursuit bungles what should have been an easy opportunity to showcase Reese Witherspoon and Sofia Vergara's likable odd-couple chemistry.",2015-05-05,7.0
Don't Say a Word,dont say a word,2001,"Don't Say A Word is slick and competently made, but the movie is routine and stretches believability with many eye rolling moments.",2001-01-01,24.0
Don't Stop Believin': Everyman's Journey,dont stop believin everymans journey,2012,"An energetic but thin portrait of the venerable rock band Journey, Don't Stop Believin' gets a boost from new singer Arnel Pineda's charming personality.",2012-04-26,64.0
Don't Tell Mom the Babysitter's Dead,dont tell mom the babysitters dead,1991,"It has an amusing enough premise, but Don't Tell Mom the Babysitter's Dead will just leave viewers pining for the madcap hijinks promised by the title.",1991-06-07,33.0
Don't Think Twice,dont think twice,2016,Don't Think Twice offers a bittersweet look at the comedian's life that's as genuinely moving as it is laugh-out-loud funny -- and a brilliant calling card for writer-director Mike Birbiglia.,2016-03-14,98.0
"Don't Worry, He Won't Get Far on Foot",dont worry he wont get far on foot,2018,"Don't Worry, He Won't Get Far on Foot avoids inspirational biopic clichés thanks to sensitive work from writer-director Gus Van Sant and the admirable efforts of a well-chosen cast.",2018-01-22,76.0
Doom,doom,2005,"The FPS sections are sure to please fans of the video game, but lacking in plot and originality to please other moviegoers.",2005-10-18,19.0
Doomsday,doomsday,2008,"Doomsday is a pale imitation of previous futuristic thrillers, minus the cohesive narrative and charismatic leads.",2008-03-14,51.0
The Doors,the doors,2000,"Val Kilmer delivers a powerhouse performance as one of rock's most incendiary figures, but unfortunately, Oliver Stone is unable to shed much light on the circus surrounding the star.",2000-01-01,57.0
Dope,dope,2015,"Featuring a starmaking performance from Shameik Moore and a refreshingly original point of view from writer-director Rick Famuyiwa, Dope is smart, insightful entertainment.",2015-01-25,89.0
Dora and the Lost City of Gold,dora and the lost city of gold,2019,"Led by a winning performance from Isabela Moner, Dora and the Lost City of Gold is a family-friendly adventure that retains its source material's youthful spirit.",2019-07-29,85.0
Dormant Beauty,dormant beauty,2013,"As complex and compelling a work as its ripped-from-the-headlines storyline deserves, Dormant Beauty serves as a delightfully thorny testament to director Marco Bellocchio and his talented cast.",2013-02-20,80.0
Dot the I,dot the i,2003,"dot the i starts out as a standard love triangle, but last minute revelations turn the movie into a gimmick.",2003-04-27,25.0
Double Dare,double dare,2004,An engaging look at two women fighting to stay employed in a profession dominated by men.,2004-03-08,97.0
Double Dragon,double dragon,2002,Double Dragon's clever use of special effects cannot mask the film's overly simplistic storyline and cheesy dialogue.,2002-10-22,13.0
Double Indemnity,double indemnity,1944,"A dark, tautly constructed adaptation of James M. Cain's novel -- penned by Billy Wilder and Raymond Chandler -- Double Indemnity continues to set the standard for the best in Hollywood film noir.",1944-09-06,97.0
La Double Vie de Véronique (The Double Life of Veronique),la double vie de véronique the double life of veronique,2000,"Operating on confounding dream logic with Irene Jacob's beautiful performance as a guide, The Double Life of Veronique offers a moving meditation on perception for audiences willing to indulge its inscrutability.",2000-01-01,82.0
Double Lover (L'amant double),double lover lamant double,2017,Double Lover offers kinky pleasures that should thrill fans of classic erotic cinema while adding some uniquely transgressive European twists.,2017-05-26,70.0
Doubt,doubt,2008,"Doubt succeeds on the strength of its top-notch cast, who successfully guide the film through the occasional narrative lull.",2008-11-07,80.0
Doug's 1st Movie,dougs 1st movie,1999,"Doug's 1st Movie may entertain very young fans of its main character, but essentially amounts to a forgettable feature-length episode of his show.",1999-03-26,26.0
Down a Dark Hall,down a dark hall,2018,"Down a Dark Hall is more stylish than scary, although its foreboding atmosphere may raise a few goosebumps among younger viewers.",2018-07-12,50.0
Down and Derby,down and derby,2005,"Dull, predictable family fare.",2005-04-14,22.0
Down and Out in Beverly Hills,down and out in beverly hills,2000,"An enjoyable farce that relocates Jean Renoir's Boudu Saved From Drowning to '80s California, offering fine comedic performances from Nick Nolte, Richard Dreyfuss and Bette Midler.",2000-01-01,79.0
Down by Law,down by law,2000,"Funny, original, and thoroughly cinematic, Down by Law represents writer-director Jim Jarmusch at his most ingratiating and evocative.",2000-01-01,87.0
Down in the Valley,down in the valley,2005,"The premise of Old West clashing with modern suburbia is fresh and initially intriguing, but the second act degenerates into a clumsy jumble of events which strain credibility.",2005-05-17,52.0
Down Periscope,down periscope,1996,"Down Periscope takes audiences on an aimless voyage for aquatic hijinks, proving there really aren't any effective sub-stitutes for a well-written script.",1996-03-01,12.0
Down to the Bone,down to the bone,2004,"A vivid portrayal of the effects of drug abuse that avoids cinematic clichés, Down to the Bone is a winning effort that features Vera Farmiga's breakout performance.",2004-01-27,94.0
Down to You,down to you,2000,"Down to You is ruined by a bland, by-the-numbers plot and an awful script.",2000-01-01,3.0
Down With Love,down with love,2003,"Looks great, but Zellweger and McGregor have no chemistry together, and the self-satisfied, knowing tone grates.",2003-04-28,60.0
Downfall (Der Untergang),downfall der untergang,2004,"Downfall is an illuminating, thoughtful and detailed account of Hitler's last days.",2004-09-18,90.0
Downhill Racer,downhill racer,2001,Downhill Racer plunges the viewer thrillingly into the action of the sport -- and continues to hold the attention as a thoughtful drama.,2001-10-10,85.0
Downsizing,downsizing,2017,Downsizing assembles a talented cast in pursuit of some truly interesting ideas -- which may be enough for some audiences to forgive the final product's frustrating shortcomings.,2017-08-30,46.0
Downton Abbey,downton abbey,2019,"Downton Abbey distills many of the ingredients that made the show an enduring favorite, welcoming fans back for a fittingly resplendent homecoming.",2019-09-09,84.0
Dr. Dolittle,dr dolittle,1998,"Doctor Dolittle finds some mirth in the novelty of wisecracking critters, but this family feature's treacly tone is made queasy by a reliance on scatological gags that undercut the intended warmth.",1998-06-26,42.0
Dr. Dolittle 2,dr dolittle 2,2000,"Although there are laughs to be had in Dr. Dolittle 2, its preoccupation with toilet humor and Murphy's restrained performance makes this a missed opportunity.",2000-01-01,42.0
Dr. Giggles,dr giggles,2000,Larry Drake's deranged performance as the titular doctor is just about all that distinguishes Dr. Giggles from its slasher brethren.,2000-01-01,17.0
Dr. No,dr no,1962,"Featuring plenty of the humor, action, and escapist thrills the series would become known for, Dr. No kicks off the Bond franchise in style.",1962-10-05,95.0
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,dr strangelove or how i learned to stop worrying and love the bomb,2000,Stanley Kubrick's brilliant Cold War satire remains as funny and razor-sharp today as it was in 1964.,2000-01-01,98.0
Dr. T and the Women,dr t and the women,2000,"In terms of quality, Dr. T and the Women is one of Altman's good-but-not-great films. In typical Altman style, it features some great ensemble acting, including a wonderful performance by Richard Gere.",2000-01-01,57.0
Dracula 2000,dracula 2000,2000,"This retelling trys to offer a different spin on the origin of Dracula. Unfortunately, there's nothing here audiences haven't seen before.",2000-12-21,17.0
Dracula - Dead and Loving It,dracula dead and loving it,2000,"Lacking any of the comedic bite that audiences have come to expect from a Mel Brooks farce, this vampire parody just plain ol' sucks.",2000-01-01,11.0
Dracula Untold,dracula untold,2014,"Neither awful enough to suck nor sharp enough to bite, Dracula Untold misses the point of its iconic character's deathless appeal.",2014-09-30,24.0
Dracula's Daughter,draculas daughter,2001,"Dracula's Daughter extends the Universal horror myth in an interesting direction, but the talky script and mild atmosphere undermine its ambition.",2001-08-21,55.0
Draft Day,draft day,2014,"It's perfectly pleasant for sports buffs and Costner fans, but overall, Draft Day lives down to its title by relying too heavily on the sort of by-the-numbers storytelling that only a statistician could love.",2014-04-08,59.0
Drag Me to Hell,drag me to hell,2009,"Sam Raimi returns to top form with Drag Me to Hell, a frightening, hilarious, delightfully campy thrill ride.",2009-01-28,92.0
Dragged Across Concrete,dragged across concrete,2018,"As grim and grinding as its title, Dragged Across Concrete opts for slow-burning drama instead of high-speed thrills -- and has just the right cast to make it work.",2018-09-04,76.0
Dragon Ball Super: Broly,dragon ball super broly,2019,"Dragon Ball Super: Broly may seem like colorful chaos to newcomers, but for longtime fans, it represents this long-running franchise near its action-packed apogee.",2019-01-08,82.0
Dragon Blade (Tian jiang xiong shi),dragon blade tian jiang xiong shi,2015,"Dragon Blade is beautifully staged and choreographed, but between the battles, its talented cast is overwhelmed by a dull story and choppy editing.",2015-02-26,36.0
Dragon: The Bruce Lee Story,dragon the bruce lee story,1993,"While its impact is blunted by an overly reverential approach to its subject, Dragon: The Bruce Lee Story remains a reasonably entertaining biopic of the martial arts legend.",1993-05-07,71.0
Dragon Wars,dragon wars,2007,Dragon Wars' special effects can't make up for an unfocused script and stale acting.,2007-07-21,30.0
Dragonball Evolution,dragonball evolution,2009,"Executed with little panache or invention, Dragonball Evolution lacks the magic that made the books upon which it was based a cult sensation.",2009-03-26,15.0
Dragonheart,dragonheart,1996,"Dragonheart gives us medieval action, a splendidly mulleted Dennis Quaid, and Sean Connery as a talking dragon -- and, unfortunately, a story that largely fails to engage.",1996-05-31,50.0
Dragonslayer,dragonslayer,2002,"An atypically dark Disney adventure, Dragonslayer puts a realistic spin -- and some impressive special effects -- on a familiar tale.",2002-07-26,84.0
Dream House,dream house,2011,"Dream House is punishingly slow, stuffy, and way too obvious to be scary.",2011-09-30,6.0
Dreamcatcher,dreamcatcher,2003,An incoherent and overly long creature feature.,2003-03-17,28.0
Dreamer: Inspired by a True Story,dreamer inspired by a true story,2005,"Though formulaic, this horse story's saving grace is its strong performances.",2005-09-09,64.0
Dreamgirls,dreamgirls,2006,Dreamgirls' simple characters and plot hardly detract from the movie's real feats: the electrifying performances and the dazzling musical numbers.,2006-11-20,78.0
Dreamland,dreamland,2020,"While it may entrance audiences in search of the thoroughly strange, Dreamland lives down to its title by failing to cohere in any meaningful way.",2020-04-08,48.0
Dreams,dreams,2000,"This late-career anthology by Akira Kurosawa often confirms that Dreams are more interesting to the dreamer than their audience, but the directorial master still delivers opulent visions with a generous dose of heart.",2000-01-01,65.0
Dreamscape,dreamscape,2000,"Dreamscape mixes several genres -- horror, sci-fi, action -- and always maintains a sense of adventure and humor.",2000-01-01,77.0
Dredd,dredd,2012,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.",2012-07-12,79.0
Drillbit Taylor,drillbit taylor,2008,"Owen Wilson's charms can't save Drillbit Taylor, an unfunny, overly familiar bullied-teen comedy.",2008-03-16,25.0
Drinking Buddies,drinking buddies,2013,"Smart, funny, and powered by fine performances from Olivia Wilde and Jake Johnson, Drinking Buddies offers a bittersweet slice of observational comedy.",2013-03-11,83.0
Drive Angry,drive angry,2011,"It may deliver the over-the-top action pieces, but Drive Angry prefers to work safely within grindhouse formula than do something truly unique.",2011-01-21,47.0
Drive,drive,2011,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",2011-05-20,92.0
Drive Hard,drive hard,2014,"Hitting the pavement with an empty tank of inspiration, Drive Hard goes through its action beats in fits and starts before puttering out completely.",2014-06-25,8.0
Drive Me Crazy,drive me crazy,1999,Unoriginal story.,1999-10-01,28.0
Driven,driven,2018,Compelling performances from an outstanding cast help Driven take audiences on an enjoyably stranger-than-fiction joyride.,2018-09-09,63.0
Driveways,driveways,2019,"Understated yet powerful, Driveways is a character study anchored in fundamental decency -- and a poignant farewell to Brian Dennehy.",2019-02-12,100.0
Drop Dead Fred,drop dead fred,2000,"Tackling mature themes with an infantile sensibility, Drop Dead Fred is an ill-conceived family comedy that is more likely to stir up a headache than the imagination.",2000-01-01,11.0
Drop Dead Gorgeous,drop dead gorgeous,2000,"It's dark humor sometimes hits, but mostly misses the target.",2000-01-01,45.0
Drowning Mona,drowning mona,2000,"A whodunnit that stacks its lists of suspects with wasted character actors, Drowning Mona is a twee farce that will prompt audiences to tune out before the mystery is solved.",2000-01-01,29.0
Drug War,drug war,2013,"A taut, solidly constructed action thriller with uncommon intelligence, Drug War delivers exhilarating set pieces without skimping on sophisticated filmmaking.",2013-04-25,94.0
Drugstore Cowboy,drugstore cowboy,2000,"Drugstore Cowboy takes us into a violent, transient world with cool, contemplative style.",2000-01-01,100.0
Drumline,drumline,2002,"Essentially a sports movie with drums, the energetic Drumline somehow manages to make the familiar seem fresh.",2002-12-08,82.0
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,drunk stoned brilliant dead the story of the national lampoon,2015,"Drunk Stoned Brilliant Dead might not be the definitive doc National Lampoon fans are waiting for, but it's still almost as transgressively funny as the magazine in its heyday.",2015-01-27,88.0
Duane Hopwood,duane hopwood,2005,"Duane Hopwood proves David Schwimmer has dramatic chops that have been too rarely tested onscreen, but fails to engage as an overall viewing experience.",2005-10-29,55.0
Duck Butter,duck butter,2018,"Duck Butter has a pair of compelling leads and a refreshing female-driven perspective, but its story is ultimately too thin to support a feature-length production.",2018-04-19,57.0
Duck Season (Temporada de patos),duck season temporada de patos,1800,This modest cinematic slice-of-life manages to subtly capture many small but resonant and truthful moments of adolescence.,1800-01-01,91.0
Duck Soup,duck soup,2000,"Fueled by inspired silliness and blessed with some of the Marx brothers' most brilliant work, Duck Soup is one of its -- or any -- era's finest comedies.",2000-01-01,92.0
"Duck, You Sucker (A Fistful of Dynamite) (Giù la testa)",duck you sucker a fistful of dynamite giù la testa,2000,"Duck, You Sucker is a saucy helping of spaghetti western, with James Coburn and Rod Steiger's chemistry igniting the screen and Sergio Leone's bravura style on full display.",2000-01-01,92.0
"Dude, Where's My Car?",dude wheres my car,2000,"The movie isn't funny, the plot is too thin, and the production values feel more like a TV sitcom than a movie.",2000-01-01,17.0
Dudley Do-Right,dudley doright,1999,Gags aren't that funny.,1999-08-27,16.0
Due Date,due date,2010,"Shamelessly derivative and only sporadically funny, Due Date doesn't live up to the possibilities suggested by its talented director and marvelously mismatched stars.",2010-10-29,39.0
The Duellists,the duellists,2000,"Rich, stylized visuals work with effective performances in Ridley Scott's take on Joseph Conrad's Napoleonic story, resulting in an impressive feature film debut for the director.",2000-01-01,92.0
The Dukes,the dukes,2008,"Despite the charming principal performances, The Dukes remains little more than an unambitious pet project.",2008-10-18,57.0
The Dukes of Hazzard,the dukes of hazzard,2005,"A dumb, goofy, and vacuous adaptation of a TV show where plot is simply an excuse to string together the car chases.",2005-08-01,14.0
Duma,duma,2005,"This is an old-fashioned, richly textured family film that will appeal to children and adults alike.",2005-04-21,93.0
Dumb and Dumber,dumb and dumber,2000,A relentlessly stupid comedy elevated by its main actors: Jim Carrey goes bonkers and Jeff Daniels carries himself admirably in an against-type performance.,2000-01-01,68.0
Dumb and Dumber To,dumb and dumber to,2014,"Dumb and Dumber To does have its moments, but not enough of them -- and the Farrelly brothers' brand of humor is nowhere near as refreshingly transgressive as it once seemed.",2014-11-12,30.0
Dumb and Dumberer: When Harry Met Lloyd,dumb and dumberer when harry met lloyd,2003,This lame prequel induces more groans than laughs. Rent the original instead.,2003-06-07,10.0
Dumbo,dumbo,2001,"Dumbo packs plenty of story into its brief runtime, along with all the warm animation and wonderful music you'd expect from a Disney classic.",2001-02-27,98.0
Dumbo,dumbo,2019,"Dumbo is held partly aloft by Tim Burton's visual flair, but a crowded canvas and overstretched story leave this live-action remake more workmanlike than wondrous.",2019-03-26,46.0
Dumbstruck,dumbstruck,2011,"Dumbstruck stands as the definitive -- and, not coincidentally, the only -- documentary about ventriloquists.",2011-04-01,72.0
Dumplin',dumplin,2018,"Elevated by a solid soundtrack and a terrific cast, Dumplin' offers sweetly uplifting drama that adds just enough new ingredients to a reliably comforting formula.",2018-12-03,85.0
Dungeons & Dragons,dungeons dragons,2000,"Critics say this movie has a cheap look and is badly directed. Despite the presence of talented actors, the performances are really bad, and additionally, some people are offended at Marlon Wayans' character, calling it a racist throwback to black stereotypes.",2000-01-01,10.0
Dunkirk,dunkirk,2017,"Dunkirk serves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story.",2017-07-17,92.0
Duplex,duplex,2003,It was funnier when it was called Throw Momma From the Train.,2003-09-12,35.0
Duplicity,duplicity,2009,"Duplicity is well-crafted, smart, and often funny, but it's mostly more cerebral than visceral and features far too many plot twists.",2009-03-14,66.0
Dust to Glory,dust to glory,2005,Amazing footage from the Baja off-road race will give viewers an adrenaline rush.,2005-02-26,60.0
The Dying Gaul,the dying gaul,2005,"Though it has a fine cast, The Dying Gaul's plot feels calculated and too intellectualized.",2005-04-30,50.0
Dying of the Light,dying of the light,2014,"Dying of the Light envelops the spark of several intriguing talents, leaving audiences lost in a yawning void of uninspired filmmaking.",2014-11-30,8.0
Dysfunktional Family,dysfunktional family,2003,The humor is more profane and offensive than funny.,2003-02-27,43.0
Eagle Eye,eagle eye,2008,Eagle Eye is a preposterously plotted thriller that borrows heavily from other superior films.,2008-09-16,26.0
Eagle vs Shark,eagle vs shark,2007,"Though there are frequent moments of wit and mordant humor, Eagle vs Shark needs more to distinguish itself from other precious, Napoleon Dynamite-ish comedies.",2007-01-29,55.0
Early Man,early man,2018,"Early Man isn't quite as evolved as Aardman's best work, but still retains the unique visuals and sweet humor that have made the studio a favorite among animation enthusiasts.",2018-01-14,80.0
Earth Girls Are Easy,earth girls are easy,1989,"Earth Girls Are Easy is messy, silly, and not particularly bright -- qualities it comes by honestly and deliberately.",1989-05-12,68.0
Earth to Echo,earth to echo,2014,"Earth to Echo doesn't do itself any favors by beggaring comparison to E.T., but for younger viewers, it should prove a reasonably entertaining diversion.",2014-06-06,50.0
Earthquake,earthquake,2000,"The destruction of Los Angeles is always a welcome sight, but Earthquake offers little besides big actors slumming through crumbling sets.",2000-01-01,42.0
Earthquake Bird,earthquake bird,2019,"Riley Keough and Alicia Vikander give it their all, but Earthquake Bird suffers from a frustrating inability to bring its literary source material consistently to life.",2019-10-10,50.0
Easier with Practice,easier with practice,2009,This promising debut from writer-director Kyle Patrick Alvarez is anchored by a startlingly honest and tender performance from Brian Geraghty that helps make Easier with Practice more than just another road trip drama.,2009-06-12,88.0
Eastern Boys,eastern boys,2013,"Thoughtful, unpredictable, and overall gripping, Eastern Boys fills its sprawling running time with compelling themes and sharply drawn characters brought to life by powerful performances and deft direction.",2013-09-23,89.0
Eastern Promises,eastern promises,2007,"David Cronenberg triumphs again, showcasing the Viggo Mortensen's onscreen prowess in a daring performance. Bearing the trademarks of psychological drama and gritty violence, Eastern Promises is a very compelling crime story.",2007-08-30,89.0
Easy A,easy a,2010,"It owes a huge debt to older (and better) teen comedies, but Easy A proves a smart, witty showcase for its irresistibly charming star, Emma Stone.",2010-09-10,85.0
Easy Rider,easy rider,2000,"Edgy and seminal, Easy Rider encapsulates the dreams, hopes, and hopelessness of 1960s counterculture.",2000-01-01,83.0
Eat Drink Man Woman (Yin shi nan nu),eat drink man woman yin shi nan nu,1994,"A richly layered look at the complex interactions between a widowed chef and his daughters, Ang Lee's generational comedy Eat Drink Man Woman offers filmgoers a tasty cinematic treat.",1994-08-03,88.0
Eat Pray Love,eat pray love,2010,"The scenery is nice to look at, and Julia Roberts is as luminous as ever, but without the spiritual and emotional weight of the book that inspired it, Eat Pray Love is too shallow to resonate.",2010-08-11,36.0
Eat That Question: Frank Zappa in His Own Words,eat that question frank zappa in his own words,2016,Eat That Question: Frank Zappa in His Own Words offers an illuminating primer for Zappa novices as well as an entertaining retrospective for diehard fans.,2016-02-02,92.0
Eating Animals,eating animals,2017,"Eating Animals' thoughtful analysis and exploration of corporate farming is impressive, given the scope of the topic.",2017-09-11,91.0
Eating Out,eating out,2005,"The cast recites lines of forced wit that aren't funny, and the clunky plot has too many contrivances.",2005-04-05,16.0
Eating Raoul,eating raoul,2002,Eating Raoul serves up its spectacularly lurid tale with a healthy heaping of pitch-black humor and anarchic vigor.,2002-07-29,86.0
Echo In the Canyon,echo in the canyon,2018,"A thoroughly entertaining look at the Laurel Canyon scene as well as the musical history surrounding it, Echo in the Canyon is essential viewing for rock doc fans.",2018-09-24,90.0
Ecstasy,ecstasy,2012,"The high never even achieves liftoff in Ecstasy, a tepid adaptation of Irvine Welsh's novel that will exhaust audiences' serotonin levels long before the credits roll.",2012-02-23,15.0
Ed Wood,ed wood,2000,"Tim Burton and Johnny Depp team up to fete the life and work of cult hero Ed Wood, with typically strange and wonderful results.",2000-01-01,92.0
Eddie Murphy Raw,eddie murphy raw,2000,"Like its title suggests, Eddie Murphy Raw is a searingly unbridled and viciously funny showcase from one of comedy's best.",2000-01-01,81.0
Eddie The Eagle,eddie the eagle,2016,"Eddie the Eagle's amiable sweetness can't disguise its story's many inspirational clichés -- but for many viewers, it will be more than enough to make up for them.",2016-01-29,82.0
Eden,eden,2012,"Led by Jamie Chung's powerful performance, Eden takes a complex and non-exploitative look at the experience of a woman trapped in the horrors of sex trafficking.",2012-03-15,85.0
Eden,eden,2014,"Eden uses 1990s club culture as the appropriately intoxicating backdrop for a sensitive, low-key look at aging and the price of pursuing one's dreams.",2014-09-05,83.0
Eden Lake,eden lake,2008,"A brutal and effective British hoodie-horror that, despite the clichés, stays on the right side of scary.",2008-09-04,79.0
The Edge,the edge,1997,The Edge is an entertaining hybrid of brainy Mamet dialogue with brawny outdoors action -- albeit one that sadly lacks as much bite as its furry antagonist.,1997-09-26,64.0
Edge of Darkness,edge of darkness,2010,"For better and for worse, Edge of Darkness offers vintage Mel Gibson, working within the familiar framework of a bloody revenge thriller.",2010-01-24,55.0
The Edge of Love,the edge of love,2008,"Despite effective performances from Knightley and Miller, The Edge of Love lacks a coherent narrative.",2008-05-15,37.0
Edge of Seventeen,edge of seventeen,1999,"A time capsule assembled with honesty and sensitivity, Edge of Seventeen overcomes youthful fumbles to capture a time of life -- and an era.",1999-04-30,78.0
Edie,edie,2018,"Edie often reduces a remarkable story to a rather ordinary viewing experience, but it's elevated considerably by Sheila Hancock's work in the title role.",2018-05-21,62.0
Edmond,edmond,2006,"Despite an electrifying performance by William H. Macy, David Mamet's one-act morality play translates poorly into a film that is overburdened by dialogue.",2006-03-26,47.0
EDtv,edtv,1999,"If it's not as ambitious as The Truman Show in satirizing the voyeuristic nature of television, EdTV is an amiable, witty comedy with fine performances from Matthew McConaughey and Woody Harrelson.",1999-03-26,64.0
The Education of Charlie Banks,the education of charlie banks,2007,"Unevenness and earnestness mire this otherwise sweet, surprising coming of age drama.",2007-12-18,48.0
Edward Scissorhands,edward scissorhands,1990,"The first collaboration between Johnny Depp and Tim Burton, Edward Scissorhands is a magical modern fairy tale with gothic overtones and a sweet center.",1990-12-07,90.0
Eight Below,eight below,2006,"Featuring a stellar cast of marooned mutts, who deftly display emotion, tenderness, loyalty and resolve, Eight Below is a heartwarming and exhilarating adventure film.",2006-02-05,73.0
Eight Legged Freaks,eight legged freaks,2002,"This homage to the B-movies of the '50s has a promising first half, but runs out of ideas in the second.",2002-07-14,48.0
Eight Men Out,eight men out,2000,"Perhaps less than absorbing for non-baseball fans, but nevertheless underpinned by strong performances from the cast and John Sayles' solid direction.",2000-01-01,86.0
Eighth Grade,eighth grade,2018,Eighth Grade takes a look at its titular time period that offers a rare and resounding ring of truth while heralding breakthroughs for writer-director Bo Burnham and captivating star Elsie Fisher.,2018-01-20,99.0
Eisenstein In Guanajuato,eisenstein in guanajuato,2015,"Eisenstein in Guanajuato is certainly bold, but its provocations aren't always enough to overcome a lack of depth and clear narrative purpose.",2015-08-25,61.0
El Aura (The Aura),el aura the aura,2006,The Aura is a highly original and cerebral thriller that maintains its suspense from start to finish.,2006-08-11,87.0
El Camino: A Breaking Bad Movie,el camino a breaking bad movie,2019,"Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul.",2019-10-11,91.0
El Cantante,el cantante,2006,"El Cantante adheres to the most basic conventions of the musical biopic, rendering it indistinguishable from others of its ilk.",2006-09-15,25.0
El Chicano,el chicano,2019,"El Chicano represents a step forward for representation in superhero cinema -- unfortunately, its clichéd story is nothing more than ordinary.",2019-05-01,38.0
El Mariachi,el mariachi,2000,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.",2000-01-01,93.0
El Norte,el norte,2000,"Sensitively written, skillfully directed, and powerfully portrayed, El Norte wrings deeply affecting drama from intractable real-life issues.",2000-01-01,86.0
El Topo,el topo,2002,"By turns intoxicating and confounding, El Topo contains the creative multitudes that made writer-director Alejandro Jodorowsky such a singular talent.",2002-07-11,79.0
Elaine Stritch: Shoot Me,elaine stritch shoot me,2013,"Brutally honest and utterly compelling, Elaine Stritch: Shoot Me offers a riveting, vanity-free portrait of its legendary subject while offering a few essential truths about the human condition.",2013-05-21,99.0
Election,election,1999,Election successfully combines dark humor and intelligent writing in this very witty and enjoyable film.,1999-05-03,92.0
Triad Election (Hak se wui yi wo wai kwai),triad election hak se wui yi wo wai kwai,2006,"Taking its cues from the Godfather series, Triad Election understands how a giddy mix of thrills and gunplay can make for compelling cinema.",2006-05-13,96.0
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",electric boogaloo the wild untold story of cannon films,2014,"Electric Boogaloo: The Wild, Untold Story of Cannon Films pays tribute to the titular studio with an affectionate look back that's arguably more entertaining than much of Cannon's own B-movie product.",2014-08-01,91.0
Elektra,elektra,2005,"Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.",2005-01-11,11.0
Elektra Luxx,elektra luxx,2011,"A bizarre sex comedy full of meandering subplots, some occasional wit, and, unfortunately, not a whole lot of funny jokes.",2011-02-24,24.0
Elephant,elephant,2003,The movie's spare and unconventional style will divide viewers.,2003-05-21,73.0
Elevator to the Gallows (Ascenseur pour l'échafaud),elevator to the gallows ascenseur pour léchafaud,2000,"Louis Malle's hypnotic debut is a noir with genuine soul, infusing its tale of best laid plans gone awry with wistful performances, swooning cinematography, and a sultry soundtrack.",2000-01-01,93.0
Elf,elf,2003,"A movie full of Yuletide cheer, Elf is a spirited, good-natured family comedy, and it benefits greatly from Will Ferrell's funny and charming performance as one of Santa's biggest helpers.",2003-10-12,84.0
Eli,eli,2019,"Intermittently effective if not wholly successful, Eli offers horror fans a handful of jump scares in search of a truly terrifying story.",2019-10-15,48.0
Elisa & Marcela,elisa marcela,2019,"While it may be visually attractive, Elisa & Marcela is an underwhelming melodrama that lacks passion and energy.",2019-02-14,43.0
Tropa de Elite (The Elite Squad),tropa de elite the elite squad,2008,"Brutal, action heavy, Brazilian cop film with a pointless voiceover. Lacks flair, overdoes the violence and is never quite sure where its morals lie.",2008-01-22,53.0
Elite Squad: The Enemy Within,elite squad the enemy within,2011,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.",2011-02-11,93.0
Stonehearst Asylum,stonehearst asylum,2014,"Stonehearst Asylum offers over-the-top fun for genre aficionados; for others, however, it's likely to prove a dull disappointment.",2014-10-12,54.0
Elizabethtown,elizabethtown,2005,This story of a floundering shoe designer who returns home for a family tragedy gets lost in undeveloped plot lines and lackluster performances.,2005-09-06,28.0
Ella Enchanted,ella enchanted,2004,"Hathaway is a charming heroine, but the simple storyline gets overwhelmed by silly gimmickry.",2004-03-27,50.0
Elle,elle,2016,Elle finds director Paul Verhoeven operating at peak power -- and benefiting from a typically outstanding performance from Isabelle Huppert in the central role.,2016-05-22,91.0
Ellie Parker,ellie parker,2005,"Despite some poignant commentary about struggling actors and Naomi Watts' inspired performance, Ellie Parker stutters in making the transition from short to feature length.",2005-10-01,51.0
Elling,elling,2002,"Quirky without being overly cutesy, Elling is a gentle, warm comedy.",2002-04-11,85.0
